updatedAt,log_return
2023-02-17,1.11618856
2023-02-18,1.11336099
2023-02-19,0.95562602
2023-02-20,0.96387247
2023-02-21,0.97875295
2023-02-22,0.98542331
2023-02-23,0.95790644
2023-02-24,0.93100639
2023-02-25,0.9353948
2023-02-26,0.94530438
2023-02-27,0.94762523
2023-02-28,0.90503489
2023-03-01,0.86796429
2023-03-02,0.87146769
2023-03-03,0.85939636
2023-03-04,0.85615926
2023-03-05,0.85275721
2023-03-06,0.85326966
2023-03-07,0.84784034
2023-03-08,0.89721765
2023-03-09,0.89197261
2023-03-10,0.91546973
2023-03-11,0.81542564
2023-03-12,0.89839697
2023-03-13,0.89113905
2023-03-14,0.88762773
2023-03-15,0.92241616
2023-03-16,0.90745298
2023-03-17,0.91183001
2023-03-18,0.88249516
2023-03-19,0.87775141
2023-03-20,0.87803465
2023-03-21,0.85475868
2023-03-22,0.84647861
2023-03-23,0.84382059
2023-03-24,0.87033197
2023-03-25,0.87038757
2023-03-26,0.86946729
2023-03-27,0.88058987
2023-03-28,0.87496118
2023-03-29,0.87999428
2023-03-30,0.87642513
2023-03-31,0.87644711
2023-04-01,0.87274281
2023-04-02,0.87264789
2023-04-03,0.87015736
2023-04-04,0.87412543
2023-04-05,0.87212651
2023-04-06,0.87156341
2023-04-07,0.8040792
2023-04-08,0.77708626
2023-04-09,0.75912188
2023-04-10,0.76396524
2023-04-11,0.74623292
2023-04-12,0.75352983
2023-04-13,0.75412153
2023-04-14,0.6898055
2023-04-15,0.69919527
2023-04-16,0.64938289
2023-04-17,0.65587388
2023-04-18,0.64993653
2023-04-19,0.72414704
2023-04-20,0.72552614
2023-04-21,0.71754016
2023-04-22,0.71253234
2023-04-23,0.66885834
2023-04-24,0.66773168
2023-04-25,0.66783789
2023-04-26,0.65190719
2023-04-27,0.66666928
2023-04-28,0.67504827
2023-04-29,0.66745297
2023-04-30,0.66668829
2023-05-01,0.67684913
2023-05-02,0.67080554
2023-05-03,0.67047113
2023-05-04,0.67175623
2023-05-05,0.69150555
2023-05-06,0.70271956
2023-05-07,0.70397931
2023-05-08,0.72035538
2023-05-09,0.71915082
2023-05-10,0.71305414
2023-05-11,0.63586727
2023-05-12,0.63500656
2023-05-13,0.62622295
2023-05-14,0.62385829
2023-05-15,0.61934699
2023-05-16,0.58597111
2023-05-17,0.58532094
2023-05-18,0.59161898
2023-05-19,0.51296089
2023-05-20,0.50872435
2023-05-21,0.50217375
2023-05-22,0.49235538
2023-05-23,0.50003967
2023-05-24,0.51770119
2023-05-25,0.50770796
2023-05-26,0.50000606
2023-05-27,0.5062087
2023-05-28,0.48320746
2023-05-29,0.48357845
2023-05-30,0.49534154
2023-05-31,0.48869555
2023-06-01,0.48800506
2023-06-02,0.50573052
2023-06-03,0.50038382
2023-06-04,0.48094224
2023-06-05,0.54944825
2023-06-06,0.55313894
2023-06-07,0.6102187
2023-06-08,0.61284941
2023-06-09,0.66844015
2023-06-10,0.74708876
2023-06-11,0.73210522
2023-06-12,0.73335587
2023-06-13,0.73145788
2023-06-14,0.7347707
2023-06-15,0.74203598
2023-06-16,0.75374763
2023-06-17,0.75614677
2023-06-18,0.75552406
2023-06-19,0.77468785
2023-06-20,0.78117058
2023-06-21,0.79406807
2023-06-22,0.79423789
